codificacao,alvo,metodo,r2_treino,r2_teste,mse_teste,rmse_teste,segundos,epocas
ordinal,USD,equacoes normais,0.9075461306751093,0.910030722853241,1408606.4313045414,1186.8472653650686,0.005125799973029643,
ordinal,USD,gradient descent,0.9075461306751093,0.9100307228532633,1408606.4313041947,1186.8472653649226,25.82918639999116,50000.0
ordinal,log,equacoes normais,0.9496446469050895,0.952381280215895,745543.7796722975,863.4487707283494,0.002938999969046563,
ordinal,log,gradient descent,0.9496446471155696,0.9523812803483878,745543.7775979211,863.4487695271335,18.096809200011194,31191.0
onehot,USD,equacoes normais,0.9202268072374672,0.9218413849382645,1223692.4795808773,1106.2063458418945,0.008130800037179142,
onehot,USD,gradient descent,0.9202268072374672,0.9218413849390013,1223692.4795693418,1106.2063458366806,31.440318100037985,50000.0
onehot,log,equacoes normais,0.9586993081068866,0.9598856139141716,628051.9752999577,792.4973030237754,0.006881199951749295,
onehot,log,gradient descent,0.9586993083140695,0.9598856140800156,628051.9727034167,792.4973013855737,25.085272099997383,38845.0
