,coeficiente,vif,desvio_bootstrap,coef_sobre_desvio
carat,5150.264875612719,24.868225870683123,112.00740436212035,45.98146796583102
y,2922.1161987828054,539.5267349756521,427.86934138235455,6.82945917401343
x,-2007.214650500048,537.1855419963815,396.69741772635155,-5.059812745957066
z,-1934.8306542308294,489.70367216824116,761.9678699526925,-2.5392549089385557
clarity,816.2422375550485,1.2377428105998218,8.821396264478832,92.52982329359989
color,548.8800232247005,1.1221328644022184,7.438266593294473,73.79138893993269
cut,145.34092464890605,1.5002507858077365,7.434651496896568,19.549124085987813
depth,125.6230785387715,8.865926718364728,93.04762222040014,1.3500944520775662
table,-39.93412885516538,1.6314918491410364,8.223933752245133,-4.855842721770877
